Defensive Technique Name		Techniques/Sub-Techniques it is a solution to
Application Hardening			0
Dead Code Elimination			0
Exception Handler Pointer Validation			0
Process Segment Execution Prevention		Process Injection, Exploitation for Defense Evasion, Process Hollowing, Process Injection, Exploitation for Privilege Escalation, Process Hollowing, Input Capture, Credential API Hooking, Input Capture, Exploitation for Credential Access, Credential API Hooking, Drive-by Compromise, Exploit Public-Facing Application, Exploitation for Client Execution, Exploitation of Remote Services, 	15
Segment Address Offset Randomization		Process Injection, Exploitation for Defense Evasion, Process Hollowing, Process Injection, Exploitation for Privilege Escalation, Process Hollowing, Input Capture, Credential API Hooking, Input Capture, Exploitation for Credential Access, Credential API Hooking, Drive-by Compromise, Exploit Public-Facing Application, Exploitation for Client Execution, Exploitation of Remote Services, 	15
Stack Frame Canary Verification		Exploitation for Privilege Escalation, Exploitation for Client Execution, Exploitation of Remote Services, Exploitation for Defense Evasion, Exploitation for Credential Access, 	5
Pointer Authentication			0
Credential Hardening			0
Certificate Pinning			0
Multi-factor Authentication		Valid Accounts, Default Accounts, Domain Accounts, Local Accounts, Cloud Accounts, Valid Accounts, Default Accounts, Domain Accounts, Local Accounts, Cloud Accounts, Valid Accounts, Account Manipulation, Create Account, Default Accounts, Domain Accounts, Local Accounts, Cloud Accounts, Additional Azure Service Principal Credentials, Exchange Email Delegate Permissions, Add Office 365 Global Administrator Role, SSH Authorized Keys, Local Account, Domain Account, Cloud Account, Valid Accounts, Create Account, Default Accounts, Domain Accounts, Local Accounts, Cloud Accounts, Local Account, Domain Account, Cloud Account, 	33
One-time Password		Valid Accounts, Default Accounts, Domain Accounts, Local Accounts, Cloud Accounts, Valid Accounts, Default Accounts, Domain Accounts, Local Accounts, Cloud Accounts, Valid Accounts, Account Manipulation, Create Account, Default Accounts, Domain Accounts, Local Accounts, Cloud Accounts, Additional Azure Service Principal Credentials, Exchange Email Delegate Permissions, Add Office 365 Global Administrator Role, SSH Authorized Keys, Local Account, Domain Account, Cloud Account, Valid Accounts, Create Account, Default Accounts, Domain Accounts, Local Accounts, Cloud Accounts, Local Account, Domain Account, Cloud Account, 	33
Strong Password Policy		Valid Accounts, Default Accounts, Domain Accounts, Local Accounts, Cloud Accounts, Valid Accounts, Default Accounts, Domain Accounts, Local Accounts, Cloud Accounts, Valid Accounts, Account Manipulation, Create Account, Default Accounts, Domain Accounts, Local Accounts, Cloud Accounts, Additional Azure Service Principal Credentials, Exchange Email Delegate Permissions, Add Office 365 Global Administrator Role, SSH Authorized Keys, Local Account, Domain Account, Cloud Account, Valid Accounts, Create Account, Default Accounts, Domain Accounts, Local Accounts, Cloud Accounts, Local Account, Domain Account, Cloud Account, 	33
Message Hardening			0
Message Authentication			0
Message Encryption			0
Transfer Agent Authentication			0
Platform Hardening			0
Disk Encryption		Hide Artifacts, Hidden File System, 	2
Driver Load Integrity Checking			0
RF Shielding			0
TPM Boot Integrity			0
Bootloader Authentication		Pre-OS Boot, Bootkit, Pre-OS Boot, Bootkit, 	4
Software Update		OS Credential Dumping, Modify Authentication Process, Input Capture, Exploitation for Credential Access, Security Account Manager, LSASS Memory, Domain Controller Authentication, Password Filter DLL, Pluggable Authentication Modules, Network Device Authentication, Web Portal Capture, Trusted Developer Utilities Proxy Execution, Virtualization/Sandbox Evasion, Pre-OS Boot, Use Alternate Authentication Material, Modify Authentication Process, Hide Artifacts, Rootkit, Hijack Execution Flow, MSBuild, Time Based Evasion, System Firmware, Component Firmware, Application Access Token, Pass The Hash, Pass The Ticket, Web Session Cookie, Domain Controller Authentication, Password Filter DLL, Pluggable Authentication Modules, Network Device Authentication, Run Virtual Instance, Executable Installer File Permissions Weakness, Services File Permissions Weakness, Pre-OS Boot, Browser Extensions, Compromise Client Software Binary, Office Application Startup, Server Software Component, Event Triggered Execution, Boot or Logon Autostart Execution, Hijack Execution Flow, System Firmware, Component Firmware, Add-ins, SQL Stored Procedures, Transport Agent, Application Shimming, LSASS Driver, Executable Installer File Permissions Weakness, Services File Permissions Weakness, Use Alternate Authentication Material, Software Deployment Tools Execution, Application Access Token, Pass The Hash, Pass The Ticket, Web Session Cookie, Input Capture, Web Portal Capture, Software Deployment Tools Execution, Supply Chain Compromise, Compromise Software Dependencies and Development Tools, Compromise Software Supply Chain, Event Triggered Execution, Boot or Logon Autostart Execution, Hijack Execution Flow, Application Shimming, LSASS Driver, Executable Installer File Permissions Weakness, Services File Permissions Weakness, 	70
File Analysis			0
Dynamic Analysis		Boot or Logon Initialization Scripts, Office Application Startup, Server Software Component, Event Triggered Execution, Boot or Logon Autostart Execution, Hijack Execution Flow, Logon Script (Windows), Logon Script (Mac), Network Logon Script, Rc.common, Office Template Macros, Outlook Forms, Web Shell, Screensaver, Trap, LC_LOAD_DYLIB Addition, Accessibility Features, PowerShell Profile, Component Object Model Hijacking, Registry Run Keys / Startup Folder, Shortcut Modification, Path Interception by PATH Environment Variable, Path Interception by Search Order Hijacking, Path Interception by Unquoted Path, Boot or Logon Initialization Scripts, Event Triggered Execution, Boot or Logon Autostart Execution, Process Injection, Abuse Elevation Control Mechanism, Hijack Execution Flow, Logon Script (Windows), Logon Script (Mac), Network Logon Script, Rc.common, Screensaver, Trap, LC_LOAD_DYLIB Addition, Accessibility Features, PowerShell Profile, Component Object Model Hijacking, Registry Run Keys / Startup Folder, Shortcut Modification, Thread Execution Hijacking, Bypass User Access Control, Path Interception by PATH Environment Variable, Path Interception by Search Order Hijacking, Path Interception by Unquoted Path, Data Manipulation, Runtime Data Manipulation, Phishing, Spearphishing Attachment, Spearphishing Link, Command and Scripting Interpreter Execution, User Execution, AppleScript Execution, Windows Command Shell Execution, Unix Shell Execution, VBScript Execution, Python Execution, Network Device CLI, JavaScript/JScript, PowerShell Execution, Malicious File Execution, Obfuscated Files or Information, Masquerading, Process Injection, Deobfuscate/Decode Files or Information, Abuse Elevation Control Mechanism, Hijack Execution Flow, Impair Defenses, Binary Padding, Software Packing, Compile After Delivery, Invalid Code Signature, Rename System Utilities, Thread Execution Hijacking, Bypass User Access Control, Path Interception by PATH Environment Variable, Path Interception by Search Order Hijacking, Path Interception by Unquoted Path, Impair Command History Logging, Email Collection, Local Email Collection, Internal Spearphishing, 	84
Emulated File Analysis		Event Triggered Execution, Boot or Logon Autostart Execution, Process Injection, Abuse Elevation Control Mechanism, Hijack Execution Flow, Boot or Logon Initialization Scripts, Screensaver, Trap, LC_LOAD_DYLIB Addition, Accessibility Features, PowerShell Profile, Component Object Model Hijacking, Registry Run Keys / Startup Folder, Shortcut Modification, Thread Execution Hijacking, Bypass User Access Control, Path Interception by PATH Environment Variable, Path Interception by Search Order Hijacking, Path Interception by Unquoted Path, Logon Script (Windows), Logon Script (Mac), Network Logon Script, Rc.common, Event Triggered Execution, Boot or Logon Autostart Execution, Hijack Execution Flow, Boot or Logon Initialization Scripts, Office Application Startup, Server Software Component, LC_LOAD_DYLIB Addition, Accessibility Features, PowerShell Profile, Component Object Model Hijacking, Screensaver, Trap, Registry Run Keys / Startup Folder, Shortcut Modification, Path Interception by PATH Environment Variable, Path Interception by Search Order Hijacking, Path Interception by Unquoted Path, Logon Script (Windows), Logon Script (Mac), Network Logon Script, Rc.common, Office Template Macros, Outlook Forms, Web Shell, Obfuscated Files or Information, Masquerading, Process Injection, Deobfuscate/Decode Files or Information, Abuse Elevation Control Mechanism, Hijack Execution Flow, Impair Defenses, Binary Padding, Software Packing, Compile After Delivery, Invalid Code Signature, Rename System Utilities, Thread Execution Hijacking, Bypass User Access Control, Path Interception by PATH Environment Variable, Path Interception by Search Order Hijacking, Path Interception by Unquoted Path, Impair Command History Logging, Command and Scripting Interpreter Execution, User Execution, JavaScript/JScript, PowerShell Execution, AppleScript Execution, Windows Command Shell Execution, Unix Shell Execution, VBScript Execution, Python Execution, Network Device CLI, Malicious File Execution, Email Collection, Local Email Collection, Internal Spearphishing, Data Manipulation, Runtime Data Manipulation, Phishing, Spearphishing Attachment, Spearphishing Link, 	84
